Unnamed: ,Age,City,Profession,Marital Status,Education,No. of Family members,Annual Income,Would you prefer replacing all your vehicles to Electronic vehicles?,If Yes/Maybe what type of EV would you prefer?,Do you think Electronic Vehicles are economical?,Which brand of vehicle do you currently own?,How much money could you spend on an Electronic vehicle?,Preference for wheels in EV,Do you think Electronic vehicles will replace fuel cars in India?
201,21,Kashipur,Working Professional,Single,Post Graduate,5,3062343.053,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
202,30,Pune,Working Professional,Married,Post Graduate,7,2032459.353,Yes,Liftback,Yes,KIA,<25 lakhs,2,"Yes, possibly after 20 years"
203,28,Chandrapur,Working Professional,Single,Graduate,4,2670152.38,Maybe,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
204,19,Pune,Working Professional,Single,Post Graduate,4,2871146.299,Yes,SUV,Yes,Volkswagen,<15 lakhs,4,"Yes, possibly after 20 years"
205,27,Nellore,Working Professional,Single,Graduate,5,2353061.071,Yes,Hatchback,Yes,McLaren,<15 lakhs,4,"Yes, in <20years"
206,28,Pune,None,Single,Post Graduate,4,2061784.064,No,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
207,29,Pune,Working Professional,Single,Graduate,4,2840603.811,Yes,Sedan,Yes,Hyundai,<5 lakhs,4,"Yes, possibly after 20 years"
208,31,Mumbai,None,Married,Post Graduate,4,2438247.781,Yes,SUV,No,KIA,<15 lakhs,4,"Yes, in <20years"
209,42,Nagpur,Business,Single,Graduate,6,1243490.907,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
210,45,Pune,None,Married,Graduate,2,2422690.398,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
211,22,Mumbai,None,Single,Graduate,4,2646758.733,Maybe,Sedan,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
212,25,New Delhi,Business,Married,Graduate,2,2899137.49,Yes,SUV,No,Honda,<15 lakhs,2,"Yes, in <10 years"
213,27,Pune,None,Single,Graduate,3,1523071.502,Yes,SUV,Maybe,Tata,<5 lakhs,4,"Yes, in <10 years"
214,26,Pune,Working Professional,Married,Post Graduate,4,2910914.571,Maybe,SUV,No,Tata,<15 lakhs,4,"Yes, in <10 years"
215,31,Pune,Working Professional,Married,Graduate,4,2639710.363,No,SUV,Maybe,Honda,<15 lakhs,2,"Yes, in <10 years"
216,44,Pune,Business,Married,Graduate,4,1948187.585,Yes,Liftback,No,Tata,<25 lakhs,2,"Yes, in <10 years"
217,32,Pune,None,Single,Graduate,5,2917651.497,Yes,SUV,Yes,Maruti,<15 lakhs,4,"Yes, in <10 years"
218,47,Pune,Working Professional,Single,Graduate,4,2782978.56,Yes,SUV,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
219,29,Pune,Business,Married,Graduate,6,2584897.393,No,Sedan,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
220,32,Chennai,Working Professional,Single,Graduate,3,1152186.219,Yes,Hatchback,Maybe,KIA,<15 lakhs,4,I don't think so
221,55,Karnal,Working Professional,Single,Post Graduate,3,1717366.751,Maybe,SUV,Yes,Honda,<5 lakhs,3,"Yes, in <20years"
222,30,Nashik,Working Professional,Single,Graduate,4,2658218.979,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
223,82,Pune,Working Professional,Single,Graduate,4,2267096.949,Yes,SUV,Yes,Volkswagen,>25 lakhs,4,"Yes, in <10 years"
224,30,Jalandhar,None,Single,Graduate,4,3033998.941,Maybe,Liftback,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
225,29,Pune,None,Married,Graduate,4,2436741.769,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
226,30,Pune,None,Single,Graduate,4,3241464.908,Yes,Sedan,Yes,KIA,<25 lakhs,4,"Yes, in <10 years"
227,20,Mumbai,None,Single,Graduate,3,2692468.251,Maybe,Liftback,Yes,Hyundai,<5 lakhs,2,"Yes, in <10 years"
228,26,Pune,None,Married,Post Graduate,5,1782661.988,No,Liftback,Yes,MG,<15 lakhs,4,"Yes, in <20years"
229,29,Pune,None,Single,Graduate,2,2100729.854,Yes,Hatchback,Maybe,Hyundai,<5 lakhs,4,"Yes, in <10 years"
230,29,Pune,None,Single,Post Graduate,5,2661929.656,Yes,Sedan,Yes,Honda,<15 lakhs,2,"Yes, in <10 years"
231,28,Pune,None,Married,Graduate,4,1796474.985,Yes,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <10 years"
232,57,Delhi,Working Professional,Single,Graduate,4,3026786.764,No,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
233,32,Pune,Working Professional,Single,Graduate,4,931066.9549,Yes,Sedan,Yes,Tata,<5 lakhs,2,"Yes, in <10 years"
234,33,Banglore,None,Married,Graduate,4,1149354.745,Yes,Liftback,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
235,32,Serampore,Working Professional,Married,Graduate,6,1309236.577,Maybe,SUV,Yes,Volkswagen,<15 lakhs,4,"Yes, in <10 years"
236,22,New Delhi,Working Professional,Single,Graduate,0,3218774.107,No,Sedan,Yes,KIA,<5 lakhs,4,"Yes, in <20years"
237,29,Nellore,None,Single,Graduate,4,2885067.702,No,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
238,26,Pune,None,Married,Graduate,4,2536458.096,Yes,Liftback,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
239,29,Pune,Working Professional,Single,Graduate,4,1942602.553,Maybe,Sedan,Yes,Honda,<5 lakhs,4,"Yes, in <20years"
240,30,pUNE,Salaried,Married,Graduate,3,2214658.74,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, possibly after 20 years"
241,25,Pune,None,Single,Post Graduate,4,2418571.998,No,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <10 years"
242,27,Nagpur,None,Single,Graduate,4,2751866.338,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <20years"
243,29,Bengaluru,Business,Single,Graduate,5,1749747.958,Yes,SUV,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
244,28,Pune,Working Professional,Single,Post Graduate,5,1715760.718,No,Liftback,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
245,24,Pune,None,Single,Post Graduate,3,1921380.555,Yes,Liftback,Yes,Honda,1200000,3,"Yes, possibly after 20 years"
246,32,Pune,Business,Single,Graduate,4,1803215.879,Maybe,Liftback,Maybe,Hyundai,<15 lakhs,2,"Yes, possibly after 20 years"
247,27,Pune,None,Single,Graduate,7,2804595.777,Yes,Cabrio,Yes,Maruti,<15 lakhs,2,"Yes, possibly after 20 years"
248,24,pune,Business,Single,Graduate,7,2701691.34,Yes,Sedan,No,KIA,<5 lakhs,3,"Yes, in <10 years"
249,27,Pune,Working Professional,Single,Post Graduate,3,1644357.882,Yes,Liftback,No,Tata,<25 lakhs,4,"Yes, in <10 years"
250,26,solapur,None,Single,Post Graduate,3,1774627.478,Yes,Hatchback,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
251,31,Pune,None,Married,Post Graduate,5,2444250.717,No,SUV,Yes,Hyundai,<25 lakhs,3,"Yes, in <20years"
252,28,Pune,Working Professional,Single,Post Graduate,4,1800004.485,Yes,Cabrio,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
253,28,Pune,Working Professional,Single,Graduate,0,2650441.56,Yes,SUV,Yes,Nissan,<5 lakhs,2,"Yes, in <20years"
254,22,Pune,Business,Single,Graduate,4,2635151.45,Yes,SUV,Yes,Maruti,<15 lakhs,4,"Yes, in <10 years"
255,29,Mumbai,Working Professional,Single,Graduate,5,2772536.347,Yes,Sedan,Yes,Nissan,1500000,4,"Yes, in <20years"
256,22,Satara,None,Single,Post Graduate,3,872732.4571,Yes,SUV,Maybe,Hyundai,<5 lakhs,4,"Yes, in <10 years"
257,60,Pune,None,Married,Graduate,5,2909087.681,Maybe,SUV,Yes,Chevrolet,<5 lakhs,4,"Yes, in <10 years"
258,29,Pune,None,Single,Graduate,0,2220750.992,Maybe,SUV,Yes,Hyundai,<25 lakhs,4,"Yes, in <10 years"
259,47,Pune,None,Single,Graduate,4,2521203.473,Yes,Liftback,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
260,28,Pune,Salaried,Single,Post Graduate,4,2715509.727,Yes,Hatchback,No,Honda,<5 lakhs,4,"Yes, possibly after 20 years"
261,32,Pune,Working Professional,Single,Graduate,4,2134150.805,Yes,Sedan,Maybe,Hyundai,<15 lakhs,4,"Yes, in <10 years"
262,54,Pune,None,Single,Graduate,4,2868869.612,Yes,Sedan,Maybe,Tata,>25 lakhs,4,"Yes, in <10 years"
263,25,Kashipur,Working Professional,Single,Graduate,4,1934417.037,Yes,Sedan,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
264,31,Mumbai,None,Single,Graduate,4,2907526.568,Maybe,SUV,Yes,Hyundai,<5 lakhs,4,I don't think so
265,31,Pune,None,Married,Graduate,5,2169159.297,Maybe,Hatchback,Yes,KIA,<25 lakhs,4,"Yes, in <10 years"
266,28,Pune,None,Single,Graduate,1,2397538.289,No,SUV,Maybe,Tata,<15 lakhs,4,"Yes, in <10 years"
267,23,Pune,None,Married,Post Graduate,3,2357748.306,Yes,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
268,37,Pune,None,Married,Graduate,4,3043302.287,Maybe,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
269,30,Pune,None,Married,Graduate,5,3140691.468,Yes,Sedan,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
270,29,Chennai,Working Professional,Single,Post Graduate,5,3030047.045,No,Cabrio,Yes,Honda,<15 lakhs,3,"Yes, in <20years"
271,26,Pune,None,Single,Post Graduate,4,2156969.478,Yes,Hatchback,Yes,Tata,<5 lakhs,3,"Yes, in <10 years"
272,56,Pune,Business,Single,Graduate,4,1983271.018,Yes,Hatchback,Yes,BMW,<15 lakhs,2,"Yes, in <10 years"
273,31,Pune,Working Professional,Single,Graduate,4,1919320.007,Yes,Sedan,No,KIA,<25 lakhs,4,"Yes, in <10 years"
274,26,Nellore,Business,Married,Graduate,8,2661447.517,Yes,SUV,Yes,Maruti,1500000,4,"Yes, in <20years"
275,24,Pune,None,Single,Post Graduate,3,3089311.869,Yes,SUV,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
276,22,Pune,None,Single,Graduate,3,2538392.793,Yes,SUV,Yes,McLaren,<25 lakhs,2,"Yes, in <20years"
277,29,Kashipur,Salaried,Single,Graduate,5,2640149.679,Yes,Hatchback,Yes,KIA,<5 lakhs,4,"Yes, in <20years"
278,22,Nellore,None,Single,Graduate,4,1953985.237,No,SUV,Yes,Honda,<5 lakhs,2,"Yes, in <20years"
279,25,Pune,Business,Married,Graduate,4,2569802.234,No,Liftback,Yes,Tata,1200000,4,I don't think so
280,48,Pune,None,Married,Post Graduate,7,3331330.018,Yes,Liftback,No,Hyundai,<5 lakhs,2,"Yes, in <10 years"
281,48,Delhi,None,Married,Graduate,3,1934715.08,No,Sedan,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
282,52,Nagpur,None,Single,Graduate,6,1553783.413,Maybe,SUV,Yes,Nissan,<5 lakhs,2,"Yes, in <20years"
283,48,Pune,Business,Single,Graduate,3,1553287.985,Yes,SUV,Yes,Honda,<15 lakhs,2,"Yes, in <20years"
284,29,Hakdwani,Business,Single,Post Graduate,2,1509084.441,Yes,Sedan,Maybe,Nissan,<15 lakhs,3,"Yes, in <20years"
285,31,Pune,Working Professional,Married,Graduate,4,2622751.481,Yes,Liftback,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
286,32,Chandrapur,Business,Single,Graduate,5,2591091.388,No,Cabrio,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
287,52,Pune,Working Professional,Single,Graduate,4,1829850.267,Yes,Sedan,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
288,28,Chennai,Working Professional,Single,Graduate,3,1998803.321,Yes,SUV,Maybe,KIA,<5 lakhs,4,"Yes, possibly after 20 years"
289,25,Pune,Working Professional,Single,Post Graduate,4,1346859.291,Yes,Sedan,Yes,KIA,<15 lakhs,4,"Yes, possibly after 20 years"
290,29,Mumbai,None,Single,Graduate,4,2001556.008,Yes,Hatchback,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
291,30,Pune,Working Professional,Married,Graduate,3,2593228.823,Yes,SUV,Maybe,Volkswagen,<25 lakhs,2,"Yes, in <10 years"
292,23,pune,Business,Single,Post Graduate,5,2518606.508,Yes,SUV,Yes,Nissan,<5 lakhs,4,"Yes, in <20years"
293,25,Pune,Working Professional,Single,Graduate,4,2856092.467,Yes,SUV,Yes,Maruti,<5 lakhs,2,"Yes, in <10 years"
294,29,Pune,Working Professional,Married,Graduate,4,966686.4129,No,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
295,26,Nagpur,None,Single,Graduate,1,1266686.757,Yes,Liftback,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
296,25,Mumbai,None,Married,Graduate,4,2927289.046,Maybe,SUV,Yes,Maruti Suzuki,1500000,4,"Yes, possibly after 20 years"
297,26,Jalandhar,Salaried,Single,Graduate,4,517544.2679,Yes,SUV,Maybe,KIA,<15 lakhs,2,"Yes, in <20years"
298,19,Mumbai,Working Professional,Single,Graduate,4,1372255.389,Maybe,Liftback,Yes,KIA,<25 lakhs,4,"Yes, in <20years"
299,28,Noida,Salaried,Married,Post Graduate,1,-160454.0112,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
300,26,Mumbai,None,Single,Graduate,6,2925576.552,Yes,Liftback,No,KIA,<15 lakhs,4,I don't think so
301,28,Pune,None,Single,Graduate,6,2414632.08,Yes,Sedan,Yes,Hyundai,<25 lakhs,4,"Yes, possibly after 20 years"
302,22,Pune,None,Single,Post Graduate,0,1795917.829,Yes,Sedan,Yes,Nissan,<25 lakhs,3,I don't think so
303,28,Pune,Business,Married,Post Graduate,3,2570908.61,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
304,31,Pune,Working Professional,Single,Graduate,4,2141946.267,Yes,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
305,32,Chennai,Working Professional,Single,Post Graduate,4,945974.8911,Yes,Liftback,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
306,44,Pune,Working Professional,Married,Graduate,5,2352263.295,Yes,SUV,Maybe,Nissan,<15 lakhs,2,"Yes, in <20years"
307,58,Delhi,None,Single,Graduate,4,2625721.58,Maybe,Hatchback,Yes,Hyundai,<5 lakhs,2,"Yes, possibly after 20 years"
308,32,Pune,None,Single,Post Graduate,1,1470074.228,Yes,Liftback,Yes,Honda,>25 lakhs,4,"Yes, in <10 years"
309,32,Nabha,Business,Married,Graduate,7,2110382.751,Yes,SUV,No,BMW,<5 lakhs,4,"Yes, in <10 years"
310,19,Pune,None,Married,Graduate,3,2522675.495,Yes,Sedan,Yes,Tata,<5 lakhs,4,"Yes, possibly after 20 years"
311,26,Pune,Business,Single,Graduate,4,3302472.024,Yes,SUV,Maybe,KIA,<25 lakhs,4,"Yes, in <20years"
312,69,Serampore,None,Married,Post Graduate,5,1061559.396,Maybe,Liftback,Yes,KIA,<15 lakhs,3,"Yes, in <10 years"
313,30,Pune,Business,Married,Graduate,2,2722756.793,No,Sedan,Maybe,KIA,<25 lakhs,4,"Yes, in <10 years"
314,32,Pune,None,Single,Graduate,4,3011406.813,Yes,Sedan,Maybe,KIA,<15 lakhs,2,"Yes, in <20years"
315,59,Pune,Working Professional,Married,Post Graduate,3,1492221.425,Yes,SUV,No,KIA,<15 lakhs,4,"Yes, in <20years"
316,67,Pune,None,Married,Post Graduate,4,1528042.368,Yes,Sedan,Yes,MG,<15 lakhs,4,I don't think so
317,27,Pune,Business,Single,Post Graduate,4,1223031.366,Yes,SUV,Yes,Nissan,<5 lakhs,2,"Yes, possibly after 20 years"
318,26,solapur,Business,Single,Post Graduate,5,2952264.32,Yes,Sedan,Yes,Maruti,<25 lakhs,4,"Yes, possibly after 20 years"
319,24,solapur,None,Single,Graduate,8,3067399.528,No,SUV,Yes,MG,<5 lakhs,3,"Yes, possibly after 20 years"
320,31,Pune,Working Professional,Single,Graduate,4,2077256.624,Yes,SUV,Yes,Nissan,<5 lakhs,3,"Yes, in <10 years"
321,57,Patiyala,None,Single,Graduate,4,1271534.524,Yes,Liftback,Yes,MG,<15 lakhs,3,"Yes, in <10 years"
322,25,Pune,None,Single,Graduate,4,2435370.367,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
323,29,Noida,None,Single,Graduate,4,2316420.417,Yes,Cabrio,Yes,Honda,<15 lakhs,2,"Yes, in <20years"
324,24,Pune,Working Professional,Married,Post Graduate,4,3319284.467,Yes,Sedan,Yes,Suzuki,<15 lakhs,2,"Yes, in <10 years"
325,31,Mumbai,Working Professional,Married,Post Graduate,4,2409643.134,Maybe,SUV,Yes,Volkswagen,<15 lakhs,3,"Yes, in <10 years"
326,30,Pune,Business,Married,Post Graduate,3,2701600.752,Yes,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
327,29,Pune,Business,Single,Graduate,4,1251129.617,Yes,SUV,No,Hyundai,<15 lakhs,4,"Yes, in <10 years"
328,46,Nashik,None,Single,Post Graduate,4,2510057.216,Yes,Hatchback,Maybe,Honda,<5 lakhs,4,"Yes, in <20years"
329,57,Pune,Working Professional,Single,Graduate,6,2565306.658,Yes,Sedan,Yes,KIA,2000000,4,"Yes, in <10 years"
330,29,Pune,None,Single,Post Graduate,4,2256677.346,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <10 years"
331,31,Pune,None,Single,Graduate,5,2328798.675,Maybe,Sedan,Yes,Hyundai,<25 lakhs,2,"Yes, in <20years"
332,27,Pune,Working Professional,Single,Post Graduate,4,1175581.776,No,SUV,Maybe,Chevrolet,<15 lakhs,4,"Yes, in <20years"
333,17,Pune,Working Professional,Single,Graduate,4,1779344.584,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
334,27,Pune,Working Professional,Single,Graduate,5,2419171.977,Yes,SUV,Yes,Volkswagen,<25 lakhs,2,"Yes, in <10 years"
335,40,Pune,None,Single,Post Graduate,4,2836940.748,Yes,Hatchback,Yes,Maruti,<25 lakhs,4,"Yes, in <20years"
336,32,Pune,Working Professional,Single,Graduate,0,1942721.066,Yes,Sedan,Maybe,Tata,<15 lakhs,4,"Yes, in <10 years"
337,27,New Delhi,Working Professional,Married,Graduate,3,1974874.08,No,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <20years"
338,28,Banglore,Working Professional,Single,Graduate,4,310414.5631,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
339,26,New Delhi,Working Professional,Single,Graduate,6,1912020.985,Yes,Sedan,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
340,25,Nellore,None,Single,Graduate,4,2465067.014,Yes,SUV,Yes,KIA,<15 lakhs,2,"Yes, in <20years"
341,19,Pune,None,Single,Graduate,4,3056746.043,Yes,SUV,Yes,Maruti Suzuki,<15 lakhs,2,"Yes, in <10 years"
342,31,Pune,None,Married,Graduate,8,1315912.262,Yes,Sedan,Yes,Volkswagen,<5 lakhs,4,"Yes, in <20years"
343,29,Pune,None,Single,Graduate,4,1064091.131,Maybe,Liftback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
344,25,Banglore,None,Single,Graduate,4,2918441.038,No,SUV,Maybe,Chevrolet,<15 lakhs,2,"Yes, in <20years"
345,29,Pune,None,Single,Post Graduate,3,2425690.144,Maybe,SUV,Yes,Honda,<15 lakhs,2,I don't think so
346,30,Pune,None,Single,Graduate,4,3054028.243,No,SUV,Yes,Chevrolet,1200000,3,"Yes, in <20years"
347,65,Pune,None,Single,Graduate,5,1276329.191,Yes,Liftback,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
348,25,Pune,Working Professional,Single,Graduate,2,1010036.213,Yes,SUV,Yes,MG,<15 lakhs,2,"Yes, in <20years"
349,26,Chandrapur,Working Professional,Single,Graduate,4,2645759.267,Maybe,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
350,86,Pune,Working Professional,Single,Graduate,3,2520732.713,Maybe,SUV,Maybe,Maruti,<15 lakhs,3,"Yes, in <20years"
351,32,Pune,None,Single,Graduate,4,1151149.105,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
352,69,Pune,Working Professional,Married,Graduate,4,1193787.52,Yes,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
353,31,Pune,Business,Married,Graduate,0,1602771.068,Maybe,Sedan,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
354,28,Serampore,Working Professional,Married,Post Graduate,5,2399570.612,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
355,62,Pune,None,Married,Post Graduate,4,3097908.926,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
356,62,Rewari,None,Single,Graduate,5,2230784.584,Maybe,Hatchback,Yes,Tata,<15 lakhs,3,"Yes, in <10 years"
357,27,Pune,None,Single,Graduate,5,1205309.353,No,SUV,Yes,Maruti,<15 lakhs,2,"Yes, possibly after 20 years"
358,29,Pune,Working Professional,Married,Graduate,4,1996396.742,Yes,Hatchback,Yes,Hyundai,<15 lakhs,4,"Yes, possibly after 20 years"
359,24,Pune,Working Professional,Single,Graduate,4,2361575.924,Yes,Sedan,Maybe,Hyundai,<5 lakhs,2,"Yes, in <20years"
360,31,Pune,Working Professional,Married,Graduate,0,2389193.682,Maybe,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
361,25,Pune,None,Single,Post Graduate,5,3005644.348,Yes,Sedan,Maybe,Maruti,<15 lakhs,2,"Yes, in <20years"
362,30,Pune,Working Professional,Single,Post Graduate,3,2053524.88,Yes,SUV,Maybe,Tata,<25 lakhs,4,"Yes, in <10 years"
363,31,Banglore,Working Professional,Married,Graduate,4,2069222.937,Yes,Liftback,Yes,Chevrolet,<5 lakhs,4,"Yes, in <10 years"
364,25,Pune,None,Single,Post Graduate,4,1971833.906,Yes,Liftback,No,Tata,<25 lakhs,4,"Yes, in <10 years"
365,32,Pune,None,Single,Graduate,5,2709241.614,Yes,Hatchback,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
366,30,Pune,None,Single,Graduate,5,2091702.691,Maybe,Hatchback,Yes,Maruti,<15 lakhs,2,"Yes, in <10 years"
367,36,Nagpur,Working Professional,Single,Post Graduate,3,2811165.302,Yes,SUV,Yes,Maruti,<5 lakhs,4,"Yes, in <20years"
368,25,Delhi,Business,Single,Post Graduate,3,2469787.639,Yes,Hatchback,Maybe,Maruti,>25 lakhs,2,"Yes, in <10 years"
369,30,Pune,Salaried,Married,Graduate,4,3226539.697,Yes,SUV,No,KIA,<15 lakhs,2,"Yes, in <20years"
370,58,Pune,Business,Single,Post Graduate,4,3053754.831,Yes,Cabrio,No,Nissan,<5 lakhs,2,"Yes, in <20years"
371,31,Patiyala,None,Single,Graduate,8,483374.5411,Yes,SUV,Yes,Maruti,<15 lakhs,4,I don't think so
372,24,Pune,Working Professional,Single,Graduate,4,1508494.981,Yes,Sedan,No,KIA,<5 lakhs,4,"Yes, possibly after 20 years"
373,26,Pune,Working Professional,Married,Graduate,4,2752568.735,Maybe,SUV,Yes,MG,<5 lakhs,2,"Yes, possibly after 20 years"
374,30,Pune,Working Professional,Single,Graduate,5,2643694.901,Yes,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <10 years"
375,28,Pune,None,Married,Graduate,4,2643963.672,Yes,Sedan,Yes,Tata,<25 lakhs,2,"Yes, in <10 years"
376,30,Chennai,None,Single,Graduate,4,1725239.176,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
377,69,Pune,Salaried,Single,Graduate,3,2492059.788,No,Sedan,No,Honda,<15 lakhs,4,"Yes, in <10 years"
378,28,solapur,Working Professional,Single,Post Graduate,2,1556610.367,Yes,Liftback,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
379,27,Satara,Business,Single,Graduate,4,2520495.237,Yes,Sedan,No,Tata,<15 lakhs,3,I don't think so
380,25,Pune,None,Married,Post Graduate,1,2092076.424,Yes,SUV,Maybe,Tata,>25 lakhs,4,"Yes, in <20years"
381,28,Pune,None,Single,Graduate,4,1758734.843,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
382,30,Pune,Working Professional,Single,Graduate,4,1418443.229,Yes,Sedan,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
383,28,Mumbai,Working Professional,Single,Graduate,4,1238983.296,No,SUV,Yes,Hyundai,<15 lakhs,4,I don't think so
384,32,Pune,Working Professional,Single,Graduate,3,2151226.254,Yes,SUV,No,Hyundai,<25 lakhs,2,"Yes, possibly after 20 years"
385,22,Pune,Working Professional,Single,Graduate,3,820076.7052,Yes,Sedan,Yes,Honda,<15 lakhs,2,"Yes, in <10 years"
386,31,Bengaluru,Working Professional,Single,Graduate,4,1465276.342,Yes,Liftback,Maybe,MG,<5 lakhs,4,"Yes, in <20years"
387,31,Pune,Business,Married,Graduate,4,2537646.675,No,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
388,23,Chennai,Working Professional,Single,Graduate,4,1054249.278,Yes,SUV,No,Tata,<5 lakhs,2,"Yes, in <20years"
389,54,Chandrapur,None,Married,Post Graduate,4,2816291.703,No,Liftback,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
390,26,Pune,Business,Single,Graduate,3,2829140.271,Maybe,SUV,Yes,Tata,<5 lakhs,3,"Yes, possibly after 20 years"
391,66,Pune,None,Single,Graduate,4,2946675.545,Yes,SUV,Maybe,Audi,<5 lakhs,2,"Yes, in <20years"
392,29,Mumbai,Business,Married,Graduate,7,2353762.27,Yes,Liftback,No,Hyundai,<25 lakhs,4,"Yes, in <10 years"
393,31,Delhi,Working Professional,Single,Post Graduate,5,1266223.203,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
394,26,Hakdwani,None,Married,Graduate,3,1799657.554,Yes,Liftback,Yes,Tata,<15 lakhs,3,"Yes, in <20years"
395,58,Pune,Working Professional,Single,Graduate,4,1612766.665,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
396,32,Pune,Working Professional,Married,Graduate,4,2224291.947,Yes,Hatchback,Yes,Honda,<5 lakhs,2,"Yes, in <10 years"
397,56,Pune,Working Professional,Single,Graduate,5,2086225.092,Yes,Liftback,Maybe,Tata,>25 lakhs,4,"Yes, in <20years"
398,30,nashik,Working Professional,Single,Post Graduate,6,2682101.803,Yes,Liftback,Yes,Hyundai,<5 lakhs,4,"Yes, in <20years"
399,27,Pune,Business,Single,Graduate,0,2607375.424,Yes,Sedan,Maybe,Nissan,<25 lakhs,4,"Yes, in <20years"
400,28,Pune,None,Single,Graduate,4,2053199.96,Maybe,Liftback,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
401,28,New Delhi,None,Single,Post Graduate,4,2806237.148,Yes,SUV,Maybe,Nissan,<15 lakhs,4,"Yes, in <20years"
402,29,Pune,Working Professional,Single,Post Graduate,3,3091421.305,Maybe,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
403,46,Nellore,None,Married,Graduate,5,1999419.247,No,SUV,No,KIA,<15 lakhs,4,"Yes, in <20years"
